MAINCATEGORY,SUBCATEGORY,MAINCATEGORYEN,SUBCATEGORYEN,SPH,CYL,DIAMETER,PRICE,QRCODE
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-0.50,72,37.50,-02.25-00.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-0.75,72,37.50,-02.25-00.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-1.00,72,37.50,-02.25-01.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-1.25,72,37.50,-02.25-01.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-1.50,72,37.50,-02.25-01.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-1.75,72,37.50,-02.25-01.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-2.00,72,37.50,-02.25-02.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-2.25,65,60.50,-02.25-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-2.50,65,60.50,-02.25-02.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-2.75,65,60.50,-02.25-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-3.00,65,60.50,-02.25-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-3.25,65,60.50,-02.25-03.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-3.50,65,60.50,-02.25-03.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-3.75,65,60.50,-02.25-03.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-4.00,65,60.50,-02.25-04.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,0.00,72,37.50,-02.50+00.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-0.25,72,37.50,-02.50-00.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-0.50,72,37.50,-02.50-00.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-0.75,72,37.50,-02.50-00.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-1.00,72,37.50,-02.50-01.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-1.25,72,37.50,-02.50-01.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-1.50,72,37.50,-02.50-01.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-1.75,72,37.50,-02.50-01.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-2.00,72,37.50,-02.50-02.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-2.25,65,60.50,-02.50-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-2.50,65,60.50,-02.50-02.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-2.75,65,60.50,-02.50-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-3.00,65,60.50,-02.50-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-3.25,65,60.50,-02.50-03.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-3.50,65,60.50,-02.50-03.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-3.75,65,60.50,-02.50-03.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.50,-4.00,65,60.50,-02.50-04.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,0.00,72,37.50,-02.75+00.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-0.25,72,37.50,-02.75-00.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-0.50,72,37.50,-02.75-00.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-0.75,72,37.50,-02.75-00.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-1.00,72,37.50,-02.75-01.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-1.25,72,37.50,-02.75-01.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-1.50,72,37.50,-02.75-01.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-1.75,72,37.50,-02.75-01.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-2.00,72,37.50,-02.75-02.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-2.25,65,60.50,-02.75-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-2.50,65,60.50,-02.75-02.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-2.75,65,60.50,-02.75-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-3.00,65,60.50,-02.75-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.75,-3.25,65,60.50,-02.75-03.25'
